Def,Example,Persian,English
"das Kennzeichen, -",Das Auto hat ein Schweizer Kennzeichen.,"پلاک خودرو، -","the license plate, -"
"die Kerze, -n",Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.,"شمع، -s","the candle, -s"
"die Kette, -n",Ich habe zum Geburtstag eine goldene Kette bekommen.,"زنجیر، -s","the chain, -s"
"das Kind, -er",1. Mein Bruder hat zwei Kinder. 2. Wir haben ein Kind bekommen. 3. Die Kinder spielen Fußball.,"کودک، -er","the child, -er"
"der Kindergarten, ¨-",Morgens bringe ich meinen Sohn in den Kindergarten.,"مهد کودک، ¨-","the kindergarten, ¨-"
die Kindheit,In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.,دوران کودکی,childhood
"das Kino, -s",Wollen wir ins Kino gehen?,"سینما، -s","the cinema, -s"
"der Kiosk, -e",Zeitungen bekommst du am Kiosk.,"کیوسک، -s","the kiosk, -s"
"die Kirche, -n",Diese Kirche ist aus dem 12. Jahrhundert.,"کلیسا، -s","the church, -s"
"die Kiste, -n (A, D) → D: Kasten",Ich habe zwei Kisten Bier gekauft.,"جعبه، -n (A, D) → D: جعبه","the box, -n (A, D) → D: box"
"das Kissen, -",Ohne Kopfkissen kann ich nicht schlafen.,"بالش، -","the pillow, -"
"klagen, klagt, klagte, hat geklagt",Sie klagt über Kopfschmerzen.,"اقامه دعوی کردن، شکایت کردن، اقامه دعوی کردن، شکایت کرده است","to sue, sues, sued, has sued"
"klappen, klappt, klappte, hat geklappt",Wie war die Reise? – Gut. Es hat alles prima geklappt.,"کار کردن، کار می‌کند، کار کرده، کار کرده است","work, works, worked, has worked"
klar,"1. Sie müssen noch mehr Deutsch lernen. – Ja, das ist mir klar. 2. Kommst du mit? – Klar! 3. Ich komme zu deinem Geburtstag, das ist doch klar. 4. Leider haben wir bei der Bahn keine klare Auskunft bekommen.",واضح,clear
"klären, klärt, klärte, hat geklärt","Ich hoffe, wir können dieses Problem bald klären.","روشن کردن، توضیح دادن، روشن کردن، واضح کردن","clarify, clarifies, clarified, has clarified"
klasse,Ich finde unseren Lehrer klasse.,کلاس,class
"die Klasse, -n","1. In der Klasse sind 24 Schülerinnen und Schüler. 2. Im Herbst komme ich in die 7. Klasse. 3. Einmal nach Frankfurt, 1. Klasse, bitte.",کلاس(ها),the class(es)
"die Klassenarbeit, -en (D) → A: Schularbeit",Mein Sohn schreibt bei Klassenarbeiten immer gute Noten.,"کار کلاسی، -s (D) → A: کار مدرسه","the classwork, -s (D) → A: schoolwork"
"das Klavier, -e",Meine Tochter möchte Klavier spielen lernen.,"پیانو، -س","the piano, -s"
"kleben, klebt, klebte, hat geklebt",1. Die Briefmarke klebt nicht mehr. 2. Ich klebe Ihnen ein Pflaster darauf.,"چوب، چوب، گیر کرده، گیر کرده است","stick, sticks, stuck, has stuck"
"das Kleid, -er",Ich habe mir ein neues Kleid gekauft.,"لباس، -er","the dress, -er"
die Kleidung,Hier brauchen Sie auch im Sommer warme Kleidung.,لباس,the clothing
klein,1. Unsere Wohnung ist klein. 2. Unser Kind ist noch klein. 3. Wir machen am Sonntag einen kleinen Ausflug.,کوچک,small
"klettern, klettert, kletterte, ist geklettert",Die Kinder sind auf den Baum geklettert.,"بالا رفتن، بالا رفتن، بالا رفتن، صعود کرده است","climb, climbs, climbed, has climbed"
"klicken, klickt, klickte, hat geklickt","Wenn du die Datei öffnen willst, musst du mit der Maus zweimal klicken.","کلیک، کلیک‌ها، کلیک کرده، کلیک کرده است","click, clicks, clicked, has clicked"
"der Klick, - s","Um das Wort zu markieren, genügt ein Doppelklick mit der linken Maustaste.","کلیک، -s","the click, -s"
das Klima,"Alle sagen, dass sich das Klima ändert.",آب و هوا,the climate
"die Klimaanlage, -n",Im Sommer brauchen wir eine Klimaanlage.,سیستم تهویه مطبوع,the air conditioning system
"klingeln, klingelt, klingelte, hat geklingelt","1. Ich glaube, es hat an der Tür geklingelt. 2. Das Telefon klingelt.","زنگ، حلقه‌ها، زنگ زده، زنگ زده است","ring, rings, rang, has rang"
"die Klingel, -n",Drück bitte auf die Klingel!,"زنگ، -s","the bell, -s"
"klingen, klingt, klang, hat geklungen","Wollen wir einkaufen gehen und danach zusammen kochen? – Ja, das klingt gut.","صدا، صداها، به صدا درآمد، به صدا درآمده است","sound, sounds, sounded, has sounded"
"die Klinik, -en","Ich muss in die Klinik, um meinen kranken Onkel zu besuchen.","کلینیک، -s","the clinic, -s"
"klopfen, klopft, klopfte, hat geklopft",1. Da klopft jemand ans Fenster. 2. Hat es nicht eben geklopft? 3. Bitte klopfen Sie an.,"در زدن، در زدن، در زدن، در زدن","knock, knocks, knocked, has knocked"
"der Kloß, ¨-e (D) → D, A: Knödel","Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte.","دامپلینگ، -e (D) → D، A: دامپلینگ","the dumpling, -e (D) → D, A: dumpling"
klug,1. Ich halte sie für klug. 2. Er hat sich in der Diskussion nicht besonders klug verhalten. 3. Das ist ein kluger Hund.,هوشمند,smart
knapp,1. Mach schnell. Die Zeit ist knapp. 2. Unser Geld wird knapp. Wir müssen sparen. 3. Die Fahrt war kurz. Nur knapp eine Stunde. 4. Die Wohnung hat nur knapp 30 m². 5. Der Tisch hat nur knapp 50 Euro gekostet.,ناچیز,meager
"die Kneipe, -n (D)",Gehen wir noch in eine Kneipe ein Bier trinken?,"میخانه، -s (D)","the pub, -s (D)"
"das Knie, -",Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.,"زانو، -","the knee, -"
"der Knochen, -",Ich bin hingefallen. Jetzt tun mir alle Knochen weh.,"استخوان، -","the bone, -"
"der Knödel, - (D, A) → D: Kloß",Möchten Sie zum Fleisch Erdäpfel oder Knödel? – Knödel bitte.,"دامپلینگ، - (D، A) → D: دامپلینگ","the dumpling, - (D, A) → D: dumpling"
"der Knopf, ¨-e",1. An meiner Jacke fehlt ein Knopf. 2. Der Fahrstuhl kommt nicht. – Sie müssen auf den Knopf drücken.,"دکمه، ¨-e","the button, ¨-e"
"kochen, kocht, kochte, hat gekocht",1. Ich koche gern. 2. Das Wasser kocht. 3. Der Reis muss etwa 20 Minuten kochen.,"پختن، آشپزی کردن، پخته کردن، پخته است","cook, cooks, cooked, has cooked"
"der Koch, ¨-e die Köchin, -nen",Ein Freund von mir ist Koch in einem teuren Restaurant.,"آشپز، -s آشپز زن، -s","the cook, -s the female cook, -s"
"der Koffer, -",Ich habe den Koffer schon gepackt.,"چمدان، -","the suitcase, -"
"der Kollege, -n die Kollegin, -nen",1. Ich habe guten Kontakt zu meinen Kollegen. 2. Mein neuer Kollege ist sehr nett.,"همکار، -s همکار زن، -s","the colleague, -s the female colleague, -s"
komisch,1. Das Essen schmeckt komisch. Probier mal. 2. Der Film war sehr komisch. Wir haben viel gelacht. 3. Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus.,خنده دار,funny
"kommen, kommt, kam, ist gekommen","1. Woher kommen Sie? – Aus Frankreich. 2. Wir gehen heute Abend ins Konzert. Kommen Sie auch? 3. Kommen Sie doch mal wieder zu uns. 4. Wenn Sie mal nach Köln kommen, besuchen Sie uns. 5. Steffi kommt im Herbst in die Schule. 6. Die Straßenbahn muss gleich kommen. 7. Wer kommt als Nächster dran? 8. Die Handtücher kommen in den Schrank. 9. Wie sind Sie denn auf diese Idee gekommen?","آمده، آمده، آمده، آمده است","come, come, came, has come"
die Kommunikation,Die Kommunikation zwischen den Abteilungen ist gut.,ارتباط,communication
komplett,1. Ich habe den Termin komplett vergessen. 2. Die Wohnung ist jetzt komplett eingerichtet.,کاملاً,completely
kompliziert,Er schreibt viel zu kompliziert.,پیچیده,complicated
"der Kompromiss, -e",Alle wollen etwas anderes. Wir müssen einen Kompromiss finden.,"سازش، -s","the compromise, -s"
"die Konferenz, -en",Die Konferenz findet in Raum 19 statt.,کنفرانس,the conference
"die Konfitüre, -n (CH)",Bring bitte noch ein Glas Konfitüre mit.,"مربا، -s (CH)","the jam, -s (CH)"
"der Konflikt, -e",1. Das ist ein alter Konflikt. 2. Ich habe einen Konflikt mit meinen Eltern.,"درگیری، -s","the conflict, -s"
"der König, -e",Der spanische König ist in Deutschland zu Besuch.,"پادشاه، -س","the king, -s"
die Konkurrenz,"1. Die Reparatur ist mir hier zu teuer. Bei der Konkurrenz bekomme ich sie für die Hälfte. 2. Es ist schwer, ein Geschäft aufzumachen. Die Konkurrenz ist groß.",رقابت,the competition
"können, kann, konnte, hat gekonnt (hat können als Modalverb)","1. Ich kann den schweren Koffer nicht tragen. 2. Sie können mit dem Bus zum Bahnhof fahren. 3. Kann ich jetzt nach Hause gehen? 4. Können Sie mir helfen? 5. Ich kann sehr gut Englisch und Deutsch. 6. Es kann sein, dass es heute noch regnet.","می‌توان، می‌توان، می‌توانست، توانسته است (به عنوان فعل کمکی دارد)","can, can, could, has been able to (has can as a modal verb)"
"das Konsulat, -e",Ein Visum bekommst du auch im Konsulat.,"کنسولگری، -s","the consulate, -s"
"konsumieren, konsumiert, konsumierte, hat konsumiert",Die Europäer haben im letzten Jahr mehr Fleisch konsumiert.,"مصرف کردن، مصرف کردن، مصرف کردن، مصرف کرده است","consume, consumed, consumed, has consumed"
der Konsum,Der Konsum von Lebensmitteln steigt.,مصرف,consumption
"der Kontakt, -e",Ich habe wenig Kontakt zu meinen Kollegen.,"تماس، -s","the contact, -s"
"das Konto, Konten",1. Ich möchte ein Konto eröffnen. 2. Das Geld überweisen wir am 1. März auf Ihr Konto.,"حساب، حساب‌ها","the account, accounts"
"das Girokonto, -en",Mein Girokonto kostet gar nichts.,حساب(های) جاری,the current account(s)
"kontrollieren, kontrolliert, kontrollierte, hat kontrolliert",Beim Auto müssen Sie regelmäßig das Öl kontrollieren.,"کنترل کردن، مهار کردن، مهار کردن، کنترل کرده است","control, controlled, controlled, has controlled"
"die Kontrolle, -n",1. An den Grenzen gibt es kaum noch Kontrollen. 2. Fahrkartenkontrolle! Bitte Ihre Fahrkarten!,"کنترل، -s","the control, -s"
"sich konzentrieren, konzentriert sich, konzentrierte sich, hat sich konzentriert",Bitte stör mich jetzt nicht. Ich muss mich auf meine Arbeit konzentrieren.,"متمرکز کردن، متمرکز کردن، متمرکز کردن، متمرکز کرده است","to concentrate, concentrates, concentrated, has concentrated"
"das Konzert, -e",Für das Konzert am Sonntag gibt es noch Karten.,"کنسرت، -s","the concert, -s"
"der Kopf, ¨-e",1. Ich habe Kopfschmerzen. 2. Michael kann gut im Kopf rechnen.,"سر، ¨-e","the head, ¨-e"
kopieren,1. Kann ich mir diesen Artikel kopieren? 2. Ich kopiere dir die Datei auf die Speicherkarte. 3. Ich kann dir die CD kopieren.,کپی,copy
"die Kopie, -n",Machst du mir bitte eine Kopie?,"کپی، -s","the copy, -s"
"der Kopierer, -",Der Kopierer ist schon wieder kaputt.,"دستگاه کپی، -","the copier, -"
"der Körper, -","Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.","بدن، -","the body, -"
körperlich,Körperliche Arbeit macht mir nichts aus.,از نظر فیزیکی,physically
korrekt,Ich habe die Rechnung geprüft. Alles ist korrekt.,به درستی,correctly
"der Korridor, -e (D, CH) → Gang; D: Flur",Wir warten draußen im Korridor.,"راهرو، -s (D، CH) → گذرگاه؛ D: راهرو","the corridor, -s (D, CH) → passageway; D: hallway"
"korrigieren, korrigiert, korrigierte, hat korrigiert",1. Können Sie bitte meinen Brief korrigieren? 2. Der Lehrer hat meine Fehler korrigiert.,"درست کرد، تصحیح کرد، اصلاح کرد، اصلاح کرده است","correct, corrected, corrected, has corrected"
"kosten, kostet, kostete, hat gekostet","1. Wie viel kostet das T-Shirt? – 15 Euro. 2. Eine Wohnung zu finden, kostet viel Zeit.","هزینه، مخارج، هزینه، هزینه دارد","cost, costs, cost, has cost"
die Kosten (Pl.),Die Kosten für die Reise bekomme ich von der Firma.,هزینه‌ها (جمع),the costs (pl.)
kostenlos,Diese Zeitschrift kostet nichts. Sie ist kostenlos.,به صورت رایگان,for free
"kosten, kostet, kostete, hat gekostet (A) → D, CH: probieren",Möchten Sie den Käse mal kosten?,"هزینه، هزینه‌ها، هزینه، هزینه دارد (A) → D، CH: امتحان کنید","cost, costs, cost, has cost (A) → D, CH: try"
"das Kostüm, -e",In dem Film tragen die Leute bunte Kostüme.,"لباس، -s","the costume, -s"
"die Kraft, ¨-e",Für diese Arbeit braucht man viel Kraft.,"توان، -e","the power, -e"
kräftig,1. Der Mann ist kräftig. Er macht viel Sport und isst viel. 2. Die Suppe musst du kräftig würzen.,قوی,strong
"das Kraftfahrzeug, -e",Auf dieser Straße sind Kraftfahrzeuge nicht erlaubt.,"وسیله نقلیه موتوری، -s","the motor vehicle, -s"
"das Kraftwerk, -e",Die Menschen protestieren gegen das Kraftwerk.,"نیروگاه، -s","the power plant, -s"
krank,1. Ich war zwei Wochen krank. 2. Ich muss mich um meine kranke Großmutter kümmern.,بیمار,sick
"der Kranke, -n die Kranke, -n",Kranke brauchen viel Ruhe.,"شخص بیمار، -s شخص بیمار، -s","the sick person, -s the sick person, -s"
"das Krankenhaus, ¨-er",Er hat sich verletzt und musste ins Krankenhaus.,"بیمارستان، -er","the hospital, -er"
"die Krankenkasse, -n",Die Krankenkasse bezahlt die Medikamente.,"شرکت بیمه سلامت، -s","the health insurance company, -s"
"der Krankenpfleger, -",Mein Bruder arbeitet als Krankenpfleger im Krankenhaus.,"پرستار، -","the nurse, -"
"die Krankenschwester, -n",Meine Cousine möchte gern Krankenschwester werden.,"پرستار، -s","the nurse, -s"
"der Krankenwagen, -",Wir mussten einen Krankenwagen rufen.,"آمبولانس، -","the ambulance, -"
"die Krankheit, -en",1. Gegen welche Krankheiten sollte ich mich impfen lassen? 2. Was für eine Krankheit hat Herr Brandner?,"بیماری، -s","the disease, -s"
kreativ,1. Die Kinder sind beim Basteln sehr kreativ. 2. Wir brauchen eine kreative Lösung für dieses Problem.,خلاق,creative
"der Kredit, -e",1. Ich habe den Wagen auf Kredit gekauft. 2. Wir haben von der Bank einen Kredit bekommen.,"اعتبار، -s","the credit, -s"
"die Kreditkarte, -n",Kann ich mit Kreditkarte zahlen?,کارت(های) اعتباری,the credit card(s)
"der Kreis, -e",1. Die Kinder sitzen im Kindergarten im Kreis. 2. Bitte malt jetzt alle einen Kreis in euer Heft. 3. Unser Ort gehört zum Kreis Neuss.,"دایره، -s","the circle, -s"
"das Kreuz, -e",Was bedeutet dieses Kreuz hier?,"صلیب، -s","the cross, -s"
"die Kreuzung, -en",Fahren Sie an der nächsten Kreuzung rechts.,"تقاطع، -s","the intersection, -s"
"der Krieg, -e",1. Es herrscht noch immer Krieg in diesem Land. 2. Der Lehrer spricht über den Zweiten Weltkrieg.,"جنگ، -s","the war, -s"
"kriegen, kriegt, kriegte, hat gekriegt","1. Haben Sie meinen Brief gekriegt? 2. Was kriegen Sie? – Ein Schwarzbrot, bitte.","بدست آوردن، بدست آوردن، بدست آوردن، بدست آورده است","get, gets, got, has gotten"
Kriminal- die Kriminalpolizei,Ein Nachbar von uns arbeitet bei der Kriminalpolizei.,جنایی - پلیس جنایی,Criminal - the criminal police
"der Krimi, -s",Heute Abend kommt ein spannender Krimi im Fernsehen.,"رمان جنایی، -s","the crime novel, -s"
"die Krise, -n",Die Wirtschaft steckt in einer schweren Krise.,"بحران، -s","the crisis, -s"
"kritisieren, kritisiert, kritisierte, hat kritisiert",Kritisiere mich nicht so oft.,"انتقاد کردن، انتقاد کردن، انتقاد کردن، انتقاد کرده است","criticize, criticized, criticized, has criticized"
"die Kritik, -en",1. Es gibt viel Kritik an der Politik der Regierung. 2. Dieser Film hat sehr gute Kritiken bekommen.,"انتقاد، -s","the criticism, -s"
kritisch,Es gab eine Diskussion über die Lebensmittelpreise. Ein Journalist hat kritische Fragen gestellt.,بحرانی,critical
"die Küche, -n","1. Ich suche eine Wohnung mit drei Zimmern, Küche und Bad. 2. Ich mag die deutsche Küche.","آشپزخانه، -s","the kitchen, -s"
"der Kuchen, -",Ich habe einen Kuchen gebacken.,"کیک، -","the cake, -"
"der Kugelschreiber, -",Mein Kugelschreiber ist weg.,"خودکار، -","the ballpoint pen, -"
"der Kuli, -s",Hast du einen Kuli für mich?,قلم(ها),the pen(s)
kühl,Es ist kühl draußen. Zieh dir eine Jacke an.,باحال,cool
"der Kühlschrank, ¨-e",Stell die Milch in den Kühlschrank!,"یخچال، ¨-e","the refrigerator, ¨-e"
"die Kultur, -en",Ich interessiere mich für andere Länder und Kulturen.,"فرهنگ، -s","the culture, -s"
kulturell,Es gibt große kulturelle Unterschiede zwischen den Ländern.,فرهنگی,cultural
"sich kümmern, kümmert sich, kümmerte sich, hat sich gekümmert",1. Ich kann nicht arbeiten. Ich muss mich um die Kinder kümmern. 2. Ich habe keine Zeit. Ich muss mich um das Essen kümmern.,"مراقبت کردن، رسیدگی کردن، رسیدگی کردن، مراقبت کردن","to take care of, takes care of, took care of, has taken care of"
"der Kunde, -n die Kundin, -nen","1. Sie ist schon lange bei mir Kundin. Ich habe ihr einen Sonderpreis gegeben. 2. Einen Augenblick, bitte. Ich habe einen Kunden.","مشتری، -n مشتری، -nen","the customer, -n the customer, -nen"
"kündigen, kündigt, kündigte, hat gekündigt",1. Ich war mit meiner Stelle nicht zufrieden und habe gekündigt. 2. Hast du deine Wohnung schon gekündigt? 3. Ich möchte die Zeitschrift nicht mehr. – Dann musst du schriftlich kündigen.,"استعفا می‌دهد، استعفا می‌دهد، استعفا داده است، استعفا داده است","resigns, resigns, resigned, has resigned"
"die Kündigung, -en",Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.,"پایان، -s","the termination, -s"
"die Kunst, ¨-e",Ich verstehe nichts von moderner Kunst.,"هنر، ¨-e","the art, ¨-e"
"der Künstler, - die Künstlerin, -nen",In diesem Stadtteil wohnen viele Künstlerinnen. Neben uns wohnt eine Musikerin.,"هنرمند، - هنرمند زن، -s","the artist, - the female artist, -s"
künstlich,Ich mag kein künstliches Licht.,به طور مصنوعی,artificially
"der Kunststoff, -e",Der Stuhl ist aus Kunststoff.,"پلاستیک، -s","the plastic, -s"
"der Kurs, -e",Ich besuche regelmäßig einen Deutschkurs.,"دوره، -s","the course, -s"
"der Kursleiter, - die Kursleiter, -nen",Die Kursleiterin ist mit unserer Kursgruppe manchmal in den Computerraum gegangen.,"مدرس دوره، - مدرسان دوره، -s","the course instructor, - the course instructors, -s"
"die Kurve, -n",1. Fahr bitte nicht so schnell in die Kurven. 2. Achtung. Das Stauende ist gleich hinter einer Kurve.,"منحنی، -s","the curve, -s"
kurz,1. Ricardo hat kurze Haare. 2. Kann ich Sie kurz sprechen? 3. Kurz vor 8 Uhr hat das Telefon geklingelt. 4. Mein Mann ist kurz nach mir gekommen. 5. Ich bin vor Kurzem nach München gezogen. 6. Ich wohne seit Kurzem in München. 7. Ich habe das Kleid kürzer machen lassen.,کوتاه,short
kürzlich,"Wir haben doch kürzlich darüber gesprochen, dass wir am Wochenende wegfahren wollen.",اخیراً,recently
"küssen, küsst, küsste, hat geküsst",1. Er nahm sie in die Arme und küsste sie. 2. Beim Verabschieden haben wir uns alle geküsst.,"بوس، بوس، بوسید، بوسیده است","kiss, kisses, kissed, has kissed"
"der Kuss, ¨-e",Gib der Mama einen Kuss!,"بوسه، -e","the kiss, -e"
"die Küste, -n",Unser Dorf liegt direkt an der Küste.,"ساحل، -s","the coast, -s"
"das Kuvert, -s (A) → der Briefumschlag; CH: Couvert",Ich hätte gern 50 Kuverts und Briefmarken dazu.,"پاکت، -s (A) → پاکت؛ CH: پوشش","the envelope, -s (A) → the envelope; CH: couvert"
"lächeln, lächelt, lächelte, hat gelächelt",Schauen Sie in die Kamera. Bitte lächeln!,"لبخند، لبخند، لبخند، لبخند زده است","smile, smiles, smiled, has smiled"
"lachen, lacht, lachte, hat gelacht",1. Lachen ist gesund. 2. Wir haben viel gelacht. 3. Die Kinder haben über den Witz gelacht.,"خندیدن، خندیدن، خندیدن، خندیده است","laugh, laughs, laughed, has laughed"
"der Laden, ¨-",1. Dieses Kleid habe ich in einem Laden im Zentrum gekauft. 2. Ich kaufe meine Zeitung immer beim Zeitungsladen am Eck.,فروشگاه-,the store-
die Lage,Wir suchen eine Wohnung an/in zentraler Lage.,مکان,the location
"das Lager, -","1. Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach. 2. Unsere Kinder fahren im Sommer ins Zeltlager.","انبار، -","the warehouse, -"
"die Lampe, -n",1. Ich habe mir eine neue Lampe gekauft. 2. Mach doch bitte die Lampe an. Es ist so dunkel hier.,"لامپ، -s","the lamp, -s"
"das Land, ¨-er",1. Deutschland ist ein schönes Land. 2. Möchten Sie lieber auf dem Land oder in der Stadt wohnen? 3. Wir haben ein Stück Land gekauft und wollen dort bauen. 4. In welchen Ländern warst du schon?,"کشور، -er","the country, -er"
die Landwirtschaft,Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.,کشاورزی,agriculture
"die Landschaft, -en",Die Landschaft ist sehr hügelig.,"منظره، -s","the landscape, -s"
"landen, landet, landete, ist gelandet",1. Wir sind erst um 20 Uhr in München gelandet. 2. Wegen starken Nebels konnte die Maschine nicht in Frankfurt landen.,"زمین، سرزمین‌ها، فرود آمد، فرود آمده است","land, lands, landed, has landed"
"die Landung, -en",Bei der Landung müssen Sie sich anschnallen.,"فرود، -s","the landing, -s"
lang,1. Der Teppich ist 3 m lang und 2 m breit. 2. Meine Schwester hat mir einen langen Brief geschrieben. 3. Die Hose ist zu lang. Können Sie sie kürzer machen?,طولانی,long
die Länge,"Mein Schreibtisch hat folgende Maße: Länge 1.20 m, Breite: 0,85 m, Höhe: 0,75 m.",طول,the length
"lange, lang",1. Wie lange dauert die Fahrt von Hamburg nach Berlin? 2. Wie lange bist du schon in Deutschland? 3. Wartest du schon lange? 4. Wir sind noch lange nicht fertig mit der Arbeit. 5. Wir haben lange gefrühstückt. 6. Beim Arzt muss man oft lange warten. 7. Ich komme gleich. Es dauert nicht lange.,"طولانی، طولانی","long, long"
langsam,1. Könnten Sie bitte etwas langsamer sprechen? 2. Es wird langsam kalt. Es wird Herbst.,آهسته,slow
längst,Wann reparierst du die Heizung. – Die habe ich schon längst repariert.,مدت‌ها پیش,long ago
langweilig,Der Film war sehr langweilig.,خسته کننده,boring
"sich langweilen, langweilt, langweilte, hat gelangweilt",Langweilst du dich?,"حوصله سر رفتن، حوصله سر رفتن، حوصله سر رفتن، حوصله‌اش سر رفته است","to be bored, bored, bored, has bored"
die Langeweile,Es ist aus Langeweile eingeschlafen.,کسالت,the boredom
der Lärm,Die Flugzeuge machen einen schrecklichen Lärm.,سر و صدا,the noise
"lassen, lässt, ließ, hat gelassen",1. Ich habe mein Gepäck am Bahnhof gelassen. 2. Am Samstag lasse ich mir die Haare schneiden. 3. Ich lasse meine Kinder abends nur eine Stunde fernsehen. 4. Kann ich mein Auto hier stehen lassen? 5. Wo habe ich nur meine Brille gelassen? 6. Ich habe meinen Anzug reinigen lassen. 7. Ich kann meine kleine Tochter noch nicht allein lassen. 8. Lass mich in Ruhe. Ich muss arbeiten.,"بگذار، بگذار، بگذار، گذاشته است","let, lets, let, has let"
"der Laster, -",Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.,"معاون، -","the vice, -"
"laufen, läuft, lief, ist gelaufen","1. Ich bin gestern 100 m in 10,4 Sekunden gelaufen. 2. Bist du mit dem Auto hier? – Nein, ich bin gelaufen. 3. Jeden Morgen gehe ich eine halbe Stunde laufen. 4. Wann läuft der Film? 5. Wie geht´s beruflich? – Danke, das Geschäft läuft gut.","دوید، دوید، دوید، دویده است","run, runs, ran, has run"
"das Laufwerk, -e",Für meinen Computer habe ich mir ein neues Laufwerk gekauft.,"درایو، -s","the drive, -s"
"die Laune, -n","Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune.","خلق و خو، -s","the mood, -s"
laut,1. Lass uns gehen. Hier ist es mir zu laut. 2. Können Sie bitte etwas lauter sprechen? 3. Laut Wetterbericht gibt es morgen Regen.,با صدای بلند,loud
"der Lautsprecher, -",Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.,"بلندگو، -","the loudspeaker, -"
lecker,Das Essen war sehr lecker.,خوشمزه,yummy
"leben, lebt, lebte, hat gelebt",1. Leben Ihre Großeltern noch? 2. Herr Müller hat lange im Ausland gelebt. 3. Von der Rente allein kann meine Tante nicht leben. 4. Ich lebe noch bei meinen Eltern.,"زنده، زندگی می‌کند، زیسته، زیسته است","live, lives, lived, has lived"
das Leben,1. Ich habe mich an das Leben auf dem Land gewöhnt. 2. Hier ist das Leben teuer.,زندگی,the life
"der Lebenslauf, ¨-e",Hast du den Lebenslauf für die Bewerbung schon geschrieben?,"رزومه، ¨-e","the CV, ¨-e"
die Lebensmittel (Pl.),1. Lebensmittel werden immer teurer. 2. Meine Lebensmittel kaufe ich im Supermarkt.,مواد غذایی (جمع),the foodstuffs (pl.)
das Leder,Ist die Tasche aus Leder?,چرم,the leather
ledig,Wie ist Ihr Familienstand? – Ledig.,مجرد,single
leer,1. Das Restaurant war fast leer. 2. Die Kanne ist fast leer. Ich mache uns neuen Tee.,خالی,empty
"legen, legt, legte, hat gelegt",1. Ich habe Ihnen die Briefe auf den Schreibtisch gelegt. 2. Legen Sie die Zeitungen bitte dort ins Regal.,"گذاشته، گذاشته، گذاشته است","lay, lays, laid, has laid"
die Lehre,Mein Cousin will eine dreijährige Lehre machen.,تدریس,the teaching
"die Lehrstelle, -n",Es sind noch viele Lehrstellen frei.,کارآموزی,the apprenticeship
"der Lehrer, - die Lehrerin, -nen",Die Lehrerin hat heute viele Hausaufgaben gegeben.,"معلم، - معلم زن، -s","the teacher, - the female teacher, -s"
"der Lehrling, -e",Als Lehrling verdient man nicht sehr viel Geld.,"شاگرد، -s","the apprentice, -s"
leicht,"1. Der Koffer ist ganz leicht. Ich kann ihn allein tragen. 2. Es ist nicht leicht, bei diesem Arzt einen Termin zu bekommen.",نور,light
"leid tun, tut leid, tat leid, hat leidgetan","1. Die Frau tut mir leid. 2. Wie komme ich zum Bahnhof? - Tut mir leid, das weiß ich nicht. 3. Es tut mir leid, dass ich Ihnen nicht helfen kann.","متاسف بودن، متاسف است، متاسف بود، متاسف بوده است","to be sorry, is sorry, was sorry, has been sorry"
"leiden, leidet, litt, hat gelitten",1. Er leidet an einer schweren Krankheit. 2. Sie leidet sehr unter den Verhältnissen.,"رنج می برد، رنج می برد، رنج می برد، رنج برده است","suffer, suffers, suffered, has suffered"
leider,1. Da kann ich Ihnen leider nicht helfen. 2. Hast du schon eine Antwort auf deinen Brief? – Leider nicht. 3. Leider kann ich nicht kommen. Ich muss zum Arzt.,متاسفانه,unfortunately
"leihen, leiht, lieh, hat geliehen",1. Ich habe mir von meinem Bruder 50 Euro geliehen. 2. Ich kann dir mein Fahrrad leihen. 3. Sie können das Buch in der Bibliothek ausleihen.,"قرض می‌گیرد، قرض می‌گیرد، قرض گرفته، قرض گرفته است","borrow, borrows, borrowed, has borrowed"
leise,1. Seid leise. Die anderen schlafen schon. 2. Könntest du das Radio bitte etwas leiser stellen?,ساکت,quiet
"leisten, leistet, leistete, hat geleistet",1. So ein teures Auto kann ich mir leider nicht leisten. 2. Bei einem Unfall muss jeder Erste Hilfe leisten.,"اجرا کردن، انجام دادن، اجرا کردن، انجام داده است","to perform, performs, performed, has performed"
"die Leistung, -en",Meine Leistungen in der Schule sind ganz gut.,"عملکرد، -s","the performance, -s"
"leiten, leitet, leitete, hat geleitet",Wer leitet den Kurs?,"رهبری کردن، رهبری کردن، رهبری کردن، رهبری کرده است","lead, leads, led, has led"
